D20210610,D20210622,D20210704,D20210716,D20210728,D20210809,D20210821,D20210902,D20210914,D20210926,D20211008,D20211020,D20211101,D20211113,D20211125,D20211207,D20211219,D20211231,D20220112,D20220124,D20220205,D20220217,D20220301,D20220313,D20220325,D20220406,D20220418,D20220430,D20220512,D20220524,D20220605,D20220617,D20220629,D20220711,D20220723,D20220804,D20220816,D20220828,D20220909,D20220921,D20221003,D20221015,D20221027,D20221108,D20221120,D20221202,D20221214,D20221226,D20230107,D20230119,D20230131,D20230212,D20230224,D20230308,D20230320,D20230401,D20230413,D20230425,D20230507,D20230519,D20230531,D20230612,D20230624,D20230706,D20230718,D20230730,D20230811,D20230823,D20230904,D20230916,D20230928,D20231010,D20231022,D20231103,D20231115,D20231127,D20231209,D20231221,D20240102,D20240114,D20240126,D20240207,D20240219
0.7036581,0.58927155,0.75376177,0.9548962,1.1152395,1.1041821,1.0959663,1.1167508,1.0715363,1.0758314,1.1872663,1.1761264,1.0908853,0.96905863,0.86119956,0.85049105,0.7918685,0.7355168,0.6466021,0.61696464,0.7388203,0.7542167,0.84944487,0.9954111,1.047417,0.94329405,0.9133685,0.9036165,0.84674233,0.80209684,0.87666965,0.8415616,0.9244902,1.0103285,0.9955452,0.9731071,1.0206327,0.9782303,1.023688,1.1020749,1.132932,1.103508,1.1364083,1.2205192,0.9116679,0.8927528,0.963841,0.9116544,0.8977222,0.9842121,0.9444588,0.9457126,0.97871596,0.9437474,1.0280075,1.0596071,1.0740767,1.1230683,1.1578289,1.107988,1.1269754,1.053394,0.9398914,1.0125375,1.0440307,0.9275595,1.1309571,1.2588224,1.2553742,1.2749813,1.2884717,1.1496027,1.0603895,0.95268,0.8840857,0.8036254,0.9550453,0.8336801,0.83013827,0.69005245,0.697404,0.7907535,0.8048547
1.0158622,1.0035193,1.0319272,1.1653295,1.2700475,1.2608092,1.2322439,1.24235,1.1811184,1.1186072,1.1297454,1.0798804,0.98998415,0.9529235,0.93593717,0.950174,1.0239925,1.0484804,1.0522428,1.0862837,1.1491164,1.158122,1.1764967,1.2254057,1.2706918,1.2815106,1.2771347,1.2676917,1.2941467,1.3694439,1.3908341,1.3739921,1.3636552,1.3098619,1.288444,1.2661718,1.2859452,1.2407044,1.2514575,1.243655,1.1704564,1.0599346,1.0302471,1.0720288,0.7755862,0.94190264,1.0966679,1.0688076,0.98457944,1.0086877,0.94723046,1.0243708,1.1597829,1.2019508,1.2970067,1.3815681,1.4136287,1.3993586,1.4199216,1.3939595,1.389692,1.349702,1.2666242,1.2133487,1.1074495,1.0551258,1.1855785,1.2614156,1.2567749,1.2987638,1.2632929,1.1840919,1.1165184,1.0052406,0.88178074,0.8568996,1.0026972,0.9010131,0.86017364,0.859412,0.82884336,0.9596099,0.91511726
0.7564353,0.7940913,0.7646417,0.9096237,0.89508677,0.8713158,0.92478794,0.9658138,0.9535017,0.8815629,0.9306485,0.9446739,0.9933435,0.96748286,0.9262863,0.9461673,0.9391162,0.9280368,0.9650294,1.0342354,1.0881493,1.1037579,1.1177409,1.1421201,1.1626555,1.1609113,1.1329176,1.073478,1.0175322,1.035709,1.088675,1.0615759,1.1816708,1.2318538,1.2452347,1.2192838,1.2761335,1.2283254,1.2371163,1.253727,1.2521079,1.2723684,1.3128964,1.2744715,0.9618898,1.200096,1.2940503,1.1734494,1.1170176,1.137483,1.0994612,1.1091915,1.14734,1.1562555,1.2495811,1.216616,1.2169251,1.2267078,1.2447673,1.126438,1.1945311,1.1247746,0.9941221,1.0004245,0.96549577,0.9114371,0.98301435,1.1029519,1.0926002,1.181271,1.1740055,1.1606642,1.1416849,1.1121994,1.0975602,1.0055871,0.96592957,0.94626975,0.94180757,0.8502358,0.8816609,1.0225198,0.98942965
0.6309239,0.6530542,0.80981255,0.98233175,1.1010575,1.0882283,1.1322358,1.1980602,1.2132225,1.2000341,1.1322349,1.176538,1.1628406,1.1353039,1.108993,1.1565738,1.0974661,1.022424,1.003205,1.0052456,0.9587807,0.87773263,0.83474946,0.84167224,0.8335017,0.7487641,0.6791033,0.6765807,0.6895931,0.6638235,0.70562404,0.81989956,0.8483705,0.9033264,1.0158451,0.98254436,0.97781533,0.9550729,1.0761348,1.1552566,1.1539109,1.1283082,1.1473646,1.1515435,0.8480381,1.0883435,1.2370483,1.2176557,1.1778617,1.0331565,1.0267212,0.96443796,0.78659964,0.6937609,0.6370791,0.7226533,0.65109205,0.648928,0.6482289,0.70993364,0.7304266,0.61881703,0.7019853,0.61771387,0.724881,0.7691067,1.0671853,1.1503751,1.1744101,1.173794,1.1934788,1.1941969,1.1364404,1.0669701,1.0910784,1.1352649,1.1862,1.1337434,1.0988705,1.1237742,1.0404406,0.93752486,0.866805
0.43939367,0.6027762,0.6779854,0.90287024,0.92470527,0.92253435,1.0763416,1.1001832,1.1510412,1.2524773,1.1901524,1.2432907,1.1340458,1.0802532,1.0447673,1.0090858,0.8764538,0.91359246,0.932364,0.9199281,0.98813653,1.00127,1.0628898,1.1573857,1.1801623,1.0795856,1.0804423,1.1372887,1.0972532,0.94535846,1.102583,0.9905462,0.95075417,0.892271,0.9916466,0.91833866,1.0048865,1.0559876,1.1399633,1.1937013,1.1815549,1.1273737,1.2122293,1.3561668,1.0386066,1.2646549,1.3920376,1.2783306,1.1325681,1.1885406,1.1153047,1.0334367,0.9943468,0.88232464,0.81054306,0.7040305,0.8163978,0.9570179,0.9774018,1.0820926,1.167409,1.029799,0.94143564,0.929567,0.83372015,0.8844026,1.1570821,1.2035716,1.1038437,1.294645,1.261985,1.2683253,1.2673314,1.2233741,1.0837553,1.0071659,1.0127453,1.1910319,1.1016856,0.9587178,0.8542026,0.8572709,0.79008925
0.85744244,0.86772305,0.89192724,1.0035067,1.0785443,1.0514116,1.0725136,1.0475544,1.0662006,1.020976,1.0918888,1.0776075,1.0648965,1.0052557,1.0179607,0.95740044,0.90979993,0.980043,1.0128917,0.9630608,0.88015234,0.88089055,0.94040626,0.9915309,0.9884996,0.9120384,0.83580637,0.7286259,0.61207527,0.66089535,0.8413086,0.80367583,0.9114062,1.0089983,1.0101228,1.0284873,1.1898758,1.2245541,1.1690863,1.1426208,1.1437492,1.0990505,1.1043745,1.1666831,0.86194533,1.0908927,1.1707746,1.0183667,0.9690785,1.0344622,0.9605829,0.94410866,0.984109,0.96861887,1.0905298,1.0677367,1.0573912,1.0566946,1.1480535,0.98328745,1.0038079,0.996763,0.8641917,0.7624957,0.74931496,0.71614355,0.90967983,0.98444116,0.98481214,1.0258586,1.050045,1.1729213,1.199492,1.137006,1.0944449,1.033602,1.0277319,1.0943093,1.0763154,0.98912126,1.0982214,1.187324,1.187043
1.1174921,1.199235,1.2556047,1.1763018,1.0061483,1.0038352,1.0155356,0.88583165,0.92021894,1.0239167,1.0064647,0.84360415,0.8076831,0.66583437,0.5885741,0.5848436,0.7280828,0.64448833,0.60184443,0.7527851,0.88511956,0.8290767,0.86199313,1.0168605,1.111145,1.0901885,1.1549731,1.1531363,1.0752903,1.0422668,0.9839653,0.80629975,0.9791486,0.99928284,0.9438153,1.0205415,1.1626163,1.0310835,1.0838057,1.0818809,0.97814596,1.0024832,1.060069,0.9091911,0.6307822,0.5896101,0.6955158,0.67981,0.4981355,0.65887076,0.611541,0.61146754,0.6707315,0.6662977,0.88112366,0.9520552,1.0419261,1.071964,1.1034789,1.0372497,1.0310225,0.9822414,0.8134362,0.8708931,0.7309422,0.6377883,0.6464329,0.9556663,0.8002794,0.83607227,0.8608923,0.8188336,0.8192605,0.6803485,0.57922393,0.5599918,0.5609812,0.58170205,0.49414915,0.5022009,0.45222437,0.6435026,0.5345559
1.0530474,1.0401194,1.1154755,1.0919006,1.0558805,1.1025009,1.1732329,1.0785772,1.0509775,1.1558391,1.139946,1.1462173,1.0934224,1.0267495,0.8794527,0.8449542,0.8833615,0.7614227,0.6713897,0.74933,0.8395733,0.82087207,0.8526109,0.93904597,0.95366055,0.86460894,1.0083334,1.0903054,1.0626378,1.0252887,0.99984074,0.9166419,0.9730013,1.0211391,0.989683,0.9516997,0.9707307,1.0116267,1.1932956,1.2355447,1.1368554,1.0419741,1.1107879,1.1983477,0.891141,1.1318837,1.2479428,1.1216974,0.9773092,1.0170176,0.93531615,0.97840494,1.1086192,1.1651323,1.26344,1.1924484,1.1145047,1.0343771,1.0252434,0.94241387,1.0796556,0.9729287,0.9719964,1.130622,1.0612524,1.0172527,1.0992059,1.1147454,1.0672781,1.1540661,1.201361,1.2212331,1.1525292,1.0595539,0.9443607,0.8802201,1.0987844,1.1452528,1.1143104,0.98827773,1.0281572,1.0420526,1.0449644
1.0600948,0.9708543,1.1134471,1.1102064,1.0840194,1.1206869,1.1414391,1.1240356,1.1237539,1.1261466,1.0589455,1.0416456,0.9845713,1.0849689,0.9782276,0.8901281,0.9110921,0.84380126,0.74867547,0.7470222,0.8855853,1.085568,1.2310485,1.3048682,1.3068998,1.2378166,1.1685725,1.1863424,1.1880381,1.1093764,1.2526248,1.1917136,1.2434481,1.1920888,1.2664686,1.1349115,1.2554201,1.2740762,1.2716829,1.2676803,1.2420847,1.1941905,1.173479,1.153979,0.85027295,0.9853766,1.0584369,0.9455838,0.89973277,0.93815875,0.96033233,1.1303893,1.2629921,1.2623676,1.354424,1.3317316,1.324066,1.2358108,1.27543,1.2167611,1.2453929,1.3645848,1.2995402,1.300221,1.2304775,1.1991509,1.1424074,1.1386861,1.0679955,1.112908,1.060802,1.0767229,1.0533735,1.1361607,1.012506,0.95301324,1.0806606,1.0565507,0.90324575,0.83513594,0.8232651,0.84657043,0.80266714
0.6727607,1.0996677,1.0911902,0.995414,0.99922174,1.0119625,1.0794427,0.9730651,1.0948844,1.3054572,1.3117123,1.2340636,1.2431519,1.2666222,1.143132,1.1271713,1.0251812,0.9367298,0.97216445,1.0402052,1.0443476,1.0706303,1.1457024,1.212655,1.2002221,1.084353,1.0898514,1.0753067,0.98303115,0.9159981,0.9034987,0.7801397,0.7988823,1.0368056,1.0304409,1.1174463,1.1362175,1.2895699,1.1353617,1.0436201,1.1391915,1.0829704,0.99029124,1.0939825,0.7954866,0.95115834,1.1707736,1.2093129,1.1546652,1.2385002,1.1081309,1.0339177,1.1353219,1.2004154,1.26362,1.3122897,1.2747082,1.262415,1.3044634,1.2774787,1.3272506,1.1423088,0.94612134,1.0942645,0.9472625,0.88200104,1.0594594,1.1608778,0.9883117,1.0415227,1.1798946,1.1268847,1.12777,1.0867636,1.0375613,0.99651015,1.1555803,1.1981341,1.179548,1.0395212,1.016021,1.0861772,1.1388909
1.3584126,1.3216265,1.3416219,1.3255894,1.3176961,1.1670829,1.109969,0.8966523,0.7775824,0.6766267,0.6078834,0.5365017,0.7140936,0.8284207,0.68061644,0.62750447,0.5797869,0.60819626,0.63421714,0.699049,0.8297854,0.8612078,0.94699514,1.0582811,1.0658236,0.8828651,0.79284704,0.7469183,0.64926213,0.6356012,0.84317005,0.8634652,1.0773896,1.2051753,1.2567407,1.3041904,1.3256902,1.1946234,1.0083989,0.8934704,0.8811585,0.88385266,0.87000674,0.8100285,0.54540586,0.54218507,0.7014589,0.73017925,0.6217765,0.7478317,0.6130395,0.674684,0.79827505,0.6716019,0.8030225,0.70972264,0.7842779,0.809022,0.8846839,0.71524197,0.8442526,0.7964917,0.8500361,0.8371536,0.7139895,0.70535666,0.7749811,0.81410027,0.8069546,0.9077372,0.78,0.8443429,0.7549757,0.8518836,0.75350875,0.7420673,0.88743395,0.78073615,0.68925387,0.7833669,0.6846233,0.7729503,0.6833997
1.0396078,1.0336516,1.0580361,1.1024222,1.1072094,1.0183566,1.0458618,0.9109079,0.751601,0.6825604,0.72267175,0.7377955,0.7611994,0.85051566,0.712761,0.76586616,0.6767902,0.8591653,0.9885839,1.0123503,1.0234642,1.0624654,1.1171764,1.1554296,1.1412252,1.0467207,0.94107425,0.91665286,0.9429799,0.9370421,0.9098013,0.84136057,1.0093843,0.9903701,0.97319454,1.0505935,1.1609317,0.9893418,0.95929074,0.9560449,0.9240094,1.009937,1.1052245,1.0323799,0.7398584,0.7963887,0.93898535,0.9151062,0.7513659,0.8376847,0.75467944,0.81166035,0.9101192,0.85688823,1.048867,1.0419457,1.0027791,1.0233545,0.99806595,0.8673687,1.0283757,1.068034,1.0162317,1.0929973,0.95796424,0.85510707,0.8737832,0.97992134,0.858561,0.9954505,0.93522227,0.9205805,0.8152013,0.78527665,0.76243067,0.79055285,0.826195,0.7059368,0.5891381,0.59155905,0.6749592,0.78649676,0.7641312
