avg_eleva,std_eleva,medi_aspec,avg_planc,std_planc,avg_profc,std_profc,dis2river,dis2faults,avg_slope,std_slope
-0.7827357,-0.11146106,-0.024496512,-0.7478738,-0.9525438,-0.7345209,-0.7510337,-0.8983999,0.25786904,0.5855451,-0.7857225
-0.8605245,-0.0060551073,0.12909561,-0.49007127,-0.83192474,0.52192146,0.2143052,-0.9208958,-0.32441154,0.6624714,0.4642818
0.23454222,0.42736176,0.63025415,0.12979697,0.029294597,1.6750858,2.202551,-0.44496435,0.21879418,0.99738866,1.839449
1.168529,1.1055664,-1.5266503,-0.1466789,-0.30060947,-0.26952276,-0.20581125,2.20168,1.7423787,-0.7722479,-0.07483365
-0.97339976,-0.63649356,0.3897306,-1.4774351,-1.4379559,-0.9872797,-0.95963955,-0.9694239,-0.3216477,0.6048233,-1.2048564
0.99566793,-0.32370114,0.20329764,-1.0440867,-1.148758,-0.37774098,-0.76868916,-0.09854746,-0.44450498,0.97703767,-0.87648994
-0.045138586,-0.48606586,0.015542177,-0.8030098,-1.0068221,-0.15176773,-0.32551405,-0.3227238,-0.72617334,0.62927383,-0.97048336
2.4323583,0.63385534,0.7661523,-0.3701078,0.13155472,1.6275225,1.2617935,1.1151717,-0.69531333,1.6526248,0.8118438
-0.39653504,-0.1634798,0.35613623,-0.9635195,-1.2026504,-0.48432317,-0.25179645,-0.93965256,3.555119,0.62712485,-0.8143714
1.0377791,1.1967517,-0.684963,-1.0286192,-0.7661879,-0.25359592,0.0876967,0.3323556,-0.57300586,0.9821385,0.98175204
-0.65237427,-0.8469876,0.712395,-1.2192032,-1.4625953,0.015471833,-0.6658383,-1.0733131,3.003467,0.4407804,-0.59252346
-0.6687288,-0.86196077,0.12521932,-1.1788338,-1.1643144,-0.6041188,-0.90110594,-1.0247713,2.8919637,0.7870832,-1.0723075
-1.0706083,-0.6020759,0.26832008,0.46431023,-0.3005314,0.8294819,1.237432,-0.9771311,-0.44530484,-0.41028902,0.7649027
-1.189833,-0.916444,0.19020732,1.0605625,-0.36877823,1.4742584,-0.16022758,-1.0835891,-0.61014706,0.526793,-0.46484128
-1.2084018,-1.0985588,0.0819232,0.36095878,-0.16333818,-1.7431036,-1.5281515,-1.0611364,0.10403762,-2.1545033,-1.5177194
-1.2621855,-0.93467236,-1.7149603,1.0313314,0.43403456,1.640691,2.1389892,-1.0010959,0.16496667,-1.1413622,2.2662222
-0.9704686,-0.90885067,0.6861906,1.8755901,0.444899,2.3294442,1.3927665,-0.58115727,-0.81199837,-0.57241565,0.6418983
-0.9728151,-1.0413687,0.98295194,2.1284006,1.0108305,-0.620329,-1.1549281,-0.6817894,0.016386734,-1.26596,-0.8667311
-1.1692166,-1.0094523,-0.3236216,1.340586,0.5206932,-1.1668912,-0.7752159,-1.0343833,1.6446757,-2.1389542,-0.7859169
-1.151305,-1.0419434,-0.23769805,1.7562594,0.67738557,-1.0956411,-0.9123829,-0.8860395,-0.26729044,-1.9525673,-0.9513977
-1.345186,-0.38231,-0.47523215,0.32265648,0.7109146,1.047102,1.7890562,-0.8543097,-0.36464307,-0.53611636,1.21647
-1.3036495,-0.288365,-1.3436737,0.8707608,1.1505293,0.9818739,1.3455615,-1.0165681,-0.9010442,-0.5082825,1.132942
-0.5206114,-1.169753,-0.7621709,2.5658748,0.6661608,-0.24142946,1.5068061,0.40912262,0.21210037,-2.1422358,0.1978233
-0.7422205,-0.71756023,0.8487349,0.8573825,1.0773219,1.6806952,2.0112493,-0.6134191,0.7236348,-0.3586421,2.782598
0.059564963,-1.0949111,-2.3579254,1.3331649,1.1811031,0.09470458,-0.25438038,0.42368072,-1.0107849,-1.6591362,-0.051052477
-1.1931148,-0.9706306,0.4747973,1.5251135,1.0343122,-1.1263393,-0.8280459,-1.0119334,0.6109248,-1.8117577,-0.486188
0.8392014,-0.73322636,0.5738506,-0.53657526,-1.0414109,-0.67812383,-1.0641685,0.29817352,1.2054666,-0.26854974,-0.74440944
1.0291578,-0.7256244,-0.26770917,-0.14541817,-0.6519394,0.5804924,1.0670785,1.049722,0.9178077,-0.56234616,1.1729082
1.2223388,-0.7976347,0.98609364,0.56704235,1.0804378,-0.8169792,-0.79166615,0.6369054,-0.46308443,-0.5949883,-0.5898596
0.69656456,-0.86432314,1.0053109,-0.75654906,-1.0755602,0.36877045,-0.008390203,-0.37158275,-0.32175258,-0.37301016,0.2081412
2.1217837,-0.112357855,0.86865586,1.2343216,1.740445,-1.2283801,-1.0827751,2.6281757,-0.5306638,-1.2236152,-0.8071752
-0.46801773,-1.0787013,-2.132539,-0.40266722,-0.69749653,-1.630187,-1.370657,-0.42239574,0.045641404,-2.0430586,-1.5850527
0.14537475,0.020977108,0.7161238,-0.7573653,-0.84386474,0.6190024,0.590178,0.024504783,-0.8502376,0.3214688,1.242477
2.2019835,-0.7644616,0.41511488,-0.32100576,-0.1723038,0.031492673,0.29959008,1.4605883,-0.86277044,-0.55232126,-0.14775097
1.5763677,0.37661257,-0.58952826,-1.0306172,-1.1307421,-0.72489774,-0.93360704,1.7234607,-0.5786007,0.98151153,-0.8087688
1.9147109,0.47799218,-0.02734387,-0.20219393,-0.35084167,-0.01086185,-0.2737467,1.3329239,1.1775379,0.35626107,-0.33502293
-0.052332222,1.4038085,-0.57419807,-1.2722272,-1.0369571,-0.61858803,-0.60299283,-0.43689618,-0.5895323,0.71063215,-0.0897479
0.07946719,0.11877148,0.040494125,-0.5020815,-0.8591584,-0.62608147,-0.6761622,0.20866266,-0.5356168,-0.20713647,-0.47849712
1.1229461,-0.16073014,0.10809314,-0.45075628,-0.59128577,-0.79742676,-0.4377589,0.7931002,-1.0182167,-0.8228337,-0.7624655
0.6352069,-0.67952085,-0.07643144,-0.81127524,-0.9220055,-1.2319988,-1.0309869,0.730783,-0.36893326,-1.2330728,-1.2097139
0.05222312,-0.5709874,0.5029577,0.8429121,-0.0905521,-0.23057961,-0.032499496,0.49311408,0.2902635,-1.1614579,-0.08182243
0.020155985,3.394476,0.854781,-0.93793464,0.37207994,-0.47060865,-0.27778533,-0.5593939,0.048760917,1.0130665,-0.34018797
-0.83548486,0.16956869,-0.09269463,-1.2816391,-1.3597484,-0.1212827,-0.3560919,-0.9451781,-0.27454084,1.4175149,-0.1925361
-0.21116275,2.7021058,0.74463695,-0.19983743,-0.30540255,1.090407,1.4003419,-0.66764045,-0.2764317,1.0987986,0.64482903
2.1238475,0.29007578,-0.33990392,-1.0615293,-0.4921756,0.15472339,0.538721,1.9397749,-0.81316787,0.013277058,2.1631813
0.59772813,0.7394066,-2.2999523,-1.1056424,-0.34329215,-0.64529055,-0.6793826,-0.2750342,-1.0062965,1.2437791,-0.79277915
0.39531124,3.762043,0.78382945,0.12991749,0.5688107,0.09317377,0.20252502,-0.22167242,-0.78115547,0.6467374,0.54514116
-1.083947,-0.61696076,0.078582056,-1.1045852,-0.94106764,0.6370524,1.4359933,-1.0446309,-0.05608272,0.57355106,-0.742628
-0.34055632,1.6827993,0.46019694,0.11938691,0.02010222,2.1139786,1.7178687,-0.7179759,-0.61132103,0.8386266,1.3387797
-0.73336565,0.23030314,0.23237443,-0.22531697,-0.52084565,0.48566645,0.70745176,-0.94407856,-0.89592755,0.43024325,0.3081478
0.16833381,0.52899206,0.61159736,-0.6576696,-0.8720352,-0.21209612,-0.28335258,0.52256125,-0.5515731,-0.15181115,-0.37317315
1.4074076,0.22260043,1.0971482,0.059087187,1.4982371,-1.0332721,-0.9509942,1.1120387,1.773711,0.8594791,-0.6022224
2.0103223,0.540557,1.0602005,-0.32129773,1.1107938,-1.1496787,-1.1408806,1.7592701,2.2426772,0.63970065,-1.0308615
0.4669807,1.3694627,1.0824901,-0.54686934,0.98450536,-1.0394479,-0.7346793,1.7772924,2.5277982,1.2103714,-0.78057116
1.4477097,0.2345855,1.1257632,1.5308979,2.1148186,-1.1487999,-0.891018,2.1943097,2.750546,1.3271908,-0.93234867
1.8428652,1.5434252,-0.061179716,-0.5496765,-0.6924635,-0.078855924,0.021507738,0.9590231,0.4218716,-0.54926515,0.19453232
0.15849152,-0.39645123,1.0133641,1.232639,1.4280086,-0.16213302,-0.04059202,0.62173057,-0.58729345,1.0859709,-0.73162895
1.1860982,0.5025655,1.0078899,-0.37612233,0.47254524,0.3217072,0.397942,0.9715932,-0.13828924,0.20850614,1.0983971
0.094779536,-0.11206579,1.1002474,1.553868,2.0655353,-0.25480685,-0.51505834,-0.2376345,-0.14706768,0.15250114,-0.17047703
-1.052259,-0.5944515,1.0899309,1.8802775,1.8866087,0.0005770558,-0.18373795,-1.0320297,0.21629529,0.29073808,-0.32357016
-1.1217172,-0.72288996,0.98134863,0.8834652,1.9258695,0.35889983,0.26241103,-1.047311,-0.32561713,0.98150855,-0.58209175
-1.1671867,-0.97360283,-2.1476216,1.5233074,1.3280205,-1.0853978,-0.976472,-1.0496372,0.57201713,-1.4952053,-1.5479981
-0.3658928,-0.8244336,0.4210598,-0.5918134,-1.1514962,-0.22401008,-0.8172285,0.89118457,-0.7371624,-0.20013666,-0.8345187
-0.644511,-0.8939994,0.6994135,2.5418758,-0.09283934,3.1043205,2.7226865,0.2798084,-0.80581635,-0.5367718,1.7321874
-1.2708654,-1.0220529,0.08729125,-0.50678784,-0.8959748,-1.395244,-1.1517386,-1.0332212,-0.6798534,-0.97391814,-1.5362036
0.4147383,1.330984,0.29277116,-0.30786338,-0.057540014,0.61547446,1.9640769,0.30366585,0.5775153,-0.3369581,2.2646449
1.0363498,0.35899675,-0.47142836,-0.942589,-0.77314854,-0.014428618,0.23381367,1.82322,-0.026938502,-0.29480737,0.30318272
-0.8584259,0.3422114,-1.5225,-0.5509919,-1.0560921,-0.21199533,-0.7655928,-0.89577377,-0.9238508,0.2944059,-0.7603497
0.036896028,-0.9737966,0.33573896,-0.82232076,-0.9899772,-1.0455332,-1.2400972,-0.09133537,-0.5927544,-0.694317,-1.2200149
0.19951297,-0.35186362,-0.058934763,0.7854234,0.64500594,0.9428222,1.4141642,0.8116101,-0.7721392,-0.6924335,1.4447798
-0.3062503,-0.37607598,-2.0426624,-0.48380113,-0.66297036,0.574441,0.82925355,-0.44973683,-0.9493625,0.5092963,-0.01585313
-0.98690015,-0.38179672,-2.3768644,-0.3103153,0.8668561,0.6939482,0.2422693,-1.0424273,-0.76670724,1.2851148,0.4840095
-0.19411881,1.8467153,0.92092746,0.80035865,1.8318182,-0.68013144,-0.66295034,-0.7104186,-0.42602563,1.1954398,-0.006703825
